Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","10","Australia","5510","Production","195","Cow peas, dry","2019","2019","tonnes","","M","Data not available"
"QCL","Crops and livestock products","80","Bosnia and Herzegovina","5510","Production","195","Cow peas, dry","2019","2019","tonnes","389","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","233","Burkina Faso","5510","Production","195","Cow peas, dry","2019","2019","tonnes","652454","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","195","Cow peas, dry","2019","2019","tonnes","215016","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","195","Cow peas, dry","2019","2019","tonnes","14696","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5510","Production","195","Cow peas, dry","2019","2019","tonnes","76292","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","59","Egypt","5510","Production","195","Cow peas, dry","2019","2019","tonnes","7180","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","209","Eswatini","5510","Production","195","Cow peas, dry","2019","2019","tonnes","715","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","238","Ethiopia","5510","Production","195","Cow peas, dry","2019","2019","tonnes","374332","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","81","Ghana","5510","Production","195","Cow peas, dry","2019","2019","tonnes","202735","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","175","Guinea-Bissau","5510","Production","195","Cow peas, dry","2019","2019","tonnes","679","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","91","Guyana","5510","Production","195","Cow peas, dry","2019","2019","tonnes","150","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","93","Haiti","5510","Production","195","Cow peas, dry","2019","2019","tonnes","30741","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","103","Iraq","5510","Production","195","Cow peas, dry","2019","2019","tonnes","343","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","109","Jamaica","5510","Production","195","Cow peas, dry","2019","2019","tonnes","322","","Official data"
"QCL","Crops and livestock products","110","Japan","5510","Production","195","Cow peas, dry","2019","2019","tonnes","","M","Data not available"
"QCL","Crops and livestock products","114","Kenya","5510","Production","195","Cow peas, dry","2019","2019","tonnes","246870","","Official data"
"QCL","Crops and livestock products","129","Madagascar","5510","Production","195","Cow peas, dry","2019","2019","tonnes","31069","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","130","Malawi","5510","Production","195","Cow peas, dry","2019","2019","tonnes","41656","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","133","Mali","5510","Production","195","Cow peas, dry","2019","2019","tonnes","215436","","Official data"
"QCL","Crops and livestock products","136","Mauritania","5510","Production","195","Cow peas, dry","2019","2019","tonnes","7933","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","144","Mozambique","5510","Production","195","Cow peas, dry","2019","2019","tonnes","90461","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","28","Myanmar","5510","Production","195","Cow peas, dry","2019","2019","tonnes","108021","","Official data"
"QCL","Crops and livestock products","158","Niger","5510","Production","195","Cow peas, dry","2019","2019","tonnes","2386735","","Official data"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","195","Cow peas, dry","2019","2019","tonnes","3576361","Im","FAO data based on imputation methodology"
